lemma:	##
Mitchův_;Y_,t_/(*2)	43
Bořivojův_;Y_/(*2)	43
strýčkův_/(*3ek)	43
linův	43
diktátorův_/(*2)	43
Medkův_;S_/(*3ek)	43
Danielův_;Y_/(*2)	42
Moneův	42
Čekanův_;S_/(*2)	42
Ravelův_;S_/(*2)	42
Jobův_;Y_/(*2)	42
Mirkův_;Y_/(*3ek)	42
Coenův_;S_/(*2)	42
Rimbaudův_;S_/(*2)	42
Addamsův_;S_/(*2)	42
Vláčilův_;S_/(*2)	42
Vilémův_;Y_/(*2)	42
mládkův_/(*3ek)	42
dirigentův_/(*2)	42
Šimkův_;S_/(*3ek)	42
Jidášův_;Y_/(*2)	42
Odložilův_;S_/(*2)	41
Margotin_;Y	41
Dreyfusův_;S_/(*2)	41
Braillův_;S_/(*2e)	41
Odysseův_;S_;Y_/(*2us)	41
Kučerův_;S_/(*2a)	41
Wihanův_;S_/(*2)	41
Washingtonův-1_;S_/(*4-1)	41
Tedův_;Y_,t_/(*2)	41
Londonův_;S_/(*2)	41
Dopplerův_;S_/(*2)	41
Turnerův_;S_/(*2)	41
Venušin_;Y_/(*2e)	41
Kalouskův_;S_/(*3ek)	41
Santerův_;S_/(*2)	41
hrdinčin_/(*3ka)	41
Třešňákův_;S_/(*2)	41
Nostradamův_;S_/(*2us)	41
Jakobův_;S_;Y_/(*2)	41
lordův_/(*2)	41
Prattův_;S_/(*2)	41
Pierrův	41
Kainův_;S_;Y_/(*2)	41
Vítězslavův_;Y_/(*2)	40
Beránkův_;S_/(*3ek)	40
hraběnčin_/(*3ka)	40
Rhysův	40
Pasteurův_;S_/(*2)	40
Tomkův_;S_/(*3ek)	40
Lewisův_;S_/(*2)	40
Connův	40
Katčin_;Y_/(*3ka)	40
Dreyerův_;S_/(*2)	40
Mannheimův_;G_/(*2)	40
Kukův_;S_/(*2a)	40
Tengův_;S_/(*2)	40
Šetinův_;S_/(*2a)	40
Bergsonův_;S_/(*2)	40
Eliščin_;Y_/(*3ka)	40
Kurthův	40
Horův_;S_/(*2a)	40
Vohryzkův_;S_/(*3ek)	40
Dietlův_;S_/(*2)	40
Hickeyův	39
Rádlův_;S_/(*2)	39
králíkův_/(*2)	39
Fuksův_;S_/(*2a)	39
Taylorův_;S_/(*2)	39
studentův_/(*2)	39
fořtův_/(*2)	39
Schroederův_;S_/(*2)	39
Hlávkův_;S_/(*3ek)	39
Bradshawův_;S_/(*2)	39
Metodějův_;Y_/(*2)	39
Terezin_;Y_/(*2a)	39
Carterův_;S_/(*2)	39
Roubalův_;S_/(*2)	39
politikův_/(*2)	39
Zenklův_;S_/(*2)	39
Trávníčkův-1_;S_/(*5ek-1)	39
Hilsnerův_;S_/(*2)	39
Goyův_;S_/(*2a)	39
Gershwinův_;S_/(*2)	39
Tomův_;Y_/(*2)	38
Thomasův_;S_/(*2)	38
Rilkův_;S_/(*2o)	38
Alicin_;Y_/(*2e)	38
výtvarníkův-1_/(výtvarný_umělec)_(*4-1)	38
Armstrongův_;S_/(*2)	38
kuchařův_/(*2)	38
Disneyův_;S_/(*2)	38
mamčin_,h_/(*3ka)	38
Derekův_;S_/(*2)	38
úředníkův_/(*2)	38
Lexův_;S_/(*2a)	38
Denisův_;S_/(*2)	38
Zikmundův_;Y_/(*2)	38
Čalfův_;S_/(*2a)	38
Owenův_;Y_/(*2)	38
Morávkův_;S_/(*3ek)	38
šáhův_/(*2)	38
horníkův_/(*2)	38
Gočárův_;S_/(*2)	37
Štreitův_;S_/(*2)	37
Brandlův_;S_/(*2)	37
Menzlův_;S_/(*2)	37
Tunklův_;S_/(*2)	37
Saturninův_;Y_/(*2)	37
Pinocchiův_;S_/(*2o)	37
Renatin_;Y_/(*2a)	37
zahradníkův_/(*2)	37
Sářin_;Y_/(*3ra)	37
Sašův-1_;Y_/(muž)_(*4a-1)	37
Vasův_;S_/(*2a)	37
Andersenův_;S_/(*2)	37
Nabokovův_;S_/(*2)	37
Flaubertův_;S_/(*2)	37
Jakešův_;S_/(*2)	37
